,category,total_dislikes
0,Autos & Vehicles,6171.824882542283
1,Comedy,90720.60053441656
2,Education,23308.453048305284
3,Entertainment,272895.5731481109
4,Film & Animation,45786.816891496404
5,Gaming,20891.26189431794
6,Howto & Style,50880.35237539675
7,Movies,197.11677588804838
8,Music,119811.19276117212
9,News & Politics,71857.70920113404
10,Nonprofits & Activism,1282.3222085496725
11,People & Blogs,71803.7941736364
12,Pets & Animals,7785.195954375967
13,Science & Technology,29435.818255969345
14,Shows,3198.8179951927896
15,Sports,47181.373638454745
16,Trailers,2.302585092994046
17,Travel & Events,4603.569264191749
